"","year","quarter","qBachelors","qSomecoll","qHSgrad","qLessHS","qpopBachelors","qpopSomecoll","qpopHSgrad","qpopLessHS"
"1",1979,1,1.92528844516708,3.73516345639953,4.72869399801273,7.08567002218655,8.522714247724,27.776312050705,38.5450952513325,25.1558784502385
"2",1979,2,1.60173365794173,2.91153351092076,3.47498684357271,6.16562116619142,8.36898760145316,28.2740843047089,38.5071071863649,24.8498209074731
"3",1979,3,2.85927767291031,3.0410780684605,3.77072764032988,6.17489828593817,8.58440401870935,28.5574574289873,38.6766968248277,24.1814417274756
"4",1979,4,1.68833625286548,2.97714454132957,3.99943274681417,6.11363347923564,8.91862462431795,28.720981380853,38.6884824075713,23.6719115872578
"5",1980,1,1.66777079044628,3.68109666173228,4.99814004275031,7.7512401417213,8.93800269624255,28.8418109671496,38.5488624644578,23.67132387215
"6",1980,2,1.90380604231807,3.50783137442317,5.51750675118042,8.51399783410058,8.93713034067957,28.811243765047,38.8981369790466,23.3534889152269
"7",1980,3,2.85287654370357,4.10951127235223,6.17758181073112,8.06934442296635,8.80731764137374,28.8272306914979,39.0078947236258,23.3575569435026
"8",1980,4,1.9318199095916,3.81135148901773,5.61588220456432,8.81732370369444,9.25939491192019,29.2502411446069,38.759662577222,22.7307013662509
"9",1981,1,1.58871735892061,4.33715063995978,6.52142505964331,10.0232003634523,9.09947328350494,29.4440864438668,38.7115057878647,22.7449344847635
"10",1981,2,1.885154771206,3.93857593208445,5.31981148447856,8.62682836872202,8.96321997671496,29.3472010185551,39.6597922676161,22.0297867371139
"11",1981,3,3.42760571471666,4.03180396507127,5.62011563522209,8.21414934475036,8.94776825219322,29.2481886835347,39.377054887913,22.426988176359
"12",1981,4,2.29149942396925,4.11780469765304,6.78692298510436,9.95270225717298,9.52720749450096,30.1016504131513,38.2710771927238,22.100064899624
"13",1982,1,2.1207430140415,5.39896977646605,8.06000568858656,12.2843547064185,9.24027142482031,29.4644296544565,39.4707254685399,21.8245734521832
"14",1982,2,2.87230785584745,5.1846680980568,8.14663603966894,11.4549062874427,9.42311460068865,29.9312994391839,39.3246276552808,21.3209583048466
"15",1982,3,3.30164229684375,5.63703411596498,8.39431839339136,12.8205743610224,9.21902431017907,30.2619990328968,39.2567003511795,21.2622763057446
"16",1982,4,2.9309895605447,5.65737501437034,9.24330748753613,13.6495439819499,9.54572228707878,30.5665714880188,39.0402649672517,20.8474412576507
"17",1983,1,2.22681118790964,6.37901439836979,10.521674032411,14.8543816726018,9.72111764761039,30.4501937241849,39.2116915948393,20.6169970333655
"18",1983,2,2.89132507915877,5.65489610981184,9.17663364294212,13.5256611979223,9.77806141089942,30.6990746933092,38.9281287972343,20.5947350985571
"19",1983,3,2.95150526634817,5.81416878485913,8.01350919533071,12.5583079032455,9.3991062902575,30.8686516025626,39.7951955516565,19.9370465555235
"20",1983,4,2.21335413770567,4.75808289368045,7.31574360580164,12.1877021301297,9.81476198261974,31.4071735858219,38.633449000876,20.1446154306823
"21",1984,1,2.38062560386494,4.71041882562384,7.49796353143108,12.5687802024652,9.80838653065962,31.0263815790748,39.4114500912876,19.7537817989779
"22",1984,2,2.08459800990887,4.17264582269887,6.53919727122479,10.2349000671567,9.99455846966098,31.2450632319828,39.2565450376409,19.5038332607153
"23",1984,3,2.96897718609408,4.16232111013759,6.09598800344923,10.6555477325059,9.59237306568637,31.9894455870855,39.4903534641349,18.9278278830932
"24",1984,4,2.12798381401065,4.05689200640455,6.23449437553834,10.3724824150056,10.0257186772333,32.0222291489722,39.1061528811887,18.8458992926058
"25",1985,1,2.70482296746238,4.4671911105756,6.89589192577458,12.0907137351204,9.9128921004119,31.5190066858232,39.851228277041,18.716872936724
"26",1985,2,2.04873362545013,3.99955671979328,6.23590162434345,10.8555646309413,10.0767781816652,32.2463408985799,39.168751168407,18.5081297513478
"27",1985,3,2.5482573706163,4.08850695660357,6.51872557158713,9.91863846367596,9.73245590455523,32.158410222381,39.5859150332279,18.5232188398359
"28",1985,4,1.73690960814161,3.62671054161824,6.16283813459232,9.90303479532115,10.1529589453309,32.4142509719097,39.5353052673432,17.8974848154162
"29",1986,1,2.13863899511753,4.22035902899907,6.85754796170923,12.0320057489281,9.98304674698735,32.7229602814272,39.4410853817872,17.8529075897982
"30",1986,2,2.20619249777868,4.00677576719317,6.15302566831441,10.7221147612579,9.86166390029629,32.9921892590501,39.5641391014127,17.5820077392409
"31",1986,3,2.95732656787532,3.7831021323268,6.10864915628292,9.93245457538383,9.78199772399391,32.8709396074902,39.6799299894241,17.6671326790918
"32",1986,4,2.07988181728054,3.85076448337126,5.86608377982012,10.4286683277997,10.4095481810463,33.538330988761,39.1424991150811,16.9096217151116
"33",1987,1,1.92592933393056,4.01564606483865,6.18136060148354,11.3129885219154,10.1949520705375,33.4528590795587,39.1779833583037,17.1742054916001
"34",1987,2,2.09807109812328,3.86351914182188,4.77585023090722,9.35451378867312,9.9852922623023,33.2779518175381,39.9137454414322,16.8230104787273
"35",1987,3,2.2158782134793,3.67380584558205,5.09155895524901,7.89442871834022,9.76319174206757,33.8066101406663,39.4935882888186,16.9366098284476
"36",1987,4,1.63517704178821,3.17106800911246,5.17850683262347,8.45962896071738,10.7691352769097,33.8366841034834,38.8826718218709,16.511508797736
"37",1988,1,1.92943971687911,3.30919615986436,5.84586761328683,9.05938516166153,10.4669525144941,33.6203631931455,39.4859984663687,16.4266858259917
"38",1988,2,1.3299304133824,3.03183557694499,4.5775526794925,8.78104548257636,10.3869892710926,33.2232605391119,40.0233286452292,16.3664215445664
"39",1988,3,2.10395169145946,3.39741804929876,4.61970669064015,8.03683136286358,10.2319622790474,34.1395926395869,39.4392392109176,16.1892058704481
"40",1988,4,1.26425974260123,3.30660957372681,4.61727435967283,8.12131613388875,10.7646344303752,34.2886903114288,38.9368969789163,16.0097782792797
"41",1989,1,1.62922485359166,3.29635645792318,5.33132351409028,8.85586867474843,10.630310726425,34.1630491585003,39.2097408761958,15.9968992388789
