"","year","quarter","qMen","qWomen","qpopMen","qpopWomen"
"1",1979,1,4.06785815062951,5.4469364878213,47.4474510046458,52.5525489953542
"2",1979,2,2.96894314234627,4.66487563398079,47.5225519360234,52.4774480639766
"3",1979,3,3.11773340939334,5.11505137482816,47.4640896352003,52.5359103647997
"4",1979,4,3.17670726752559,4.81634782042719,47.5831716145365,52.4168283854635
"5",1980,1,4.41922939688425,5.24095590657421,47.402239971217,52.597760028783
"6",1980,2,5.15435967612728,4.990635504892,47.6750533373003,52.3249466626997
"7",1980,3,5.08260832336402,6.22162910548219,47.847426792982,52.152573207018
"8",1980,4,4.79365815155764,5.87870844155192,47.7535582749702,52.2464417250298
"9",1981,1,5.68481004301902,6.29303256556011,47.6925492055188,52.3074507944812
"10",1981,2,4.82159567447215,5.51390209442365,47.7075489829789,52.2924510170211
"11",1981,3,4.66681641424854,6.30369510815255,47.7727961224711,52.2272038775289
"12",1981,4,5.73179242503156,6.29201131564147,47.45393807364,52.54606192636
"13",1982,1,7.52235559633798,6.95326346378709,47.6645870608684,52.3354129391316
"14",1982,2,7.22997500224095,7.0420553345469,47.7216086936931,52.2783913063069
"15",1982,3,7.52379603998003,7.89001346546133,47.5817777468559,52.4182222531441
"16",1982,4,8.16584407072711,7.95945528936203,47.4170703020136,52.5829296979864
"17",1983,1,9.41867200687583,8.18035870302916,47.7465164870177,52.2534835129823
"18",1983,2,8.49456213656553,7.25209150985183,47.8320816257013,52.1679183742987
"19",1983,3,7.25601198577185,7.68966074593825,47.747696691639,52.252303308361
"20",1983,4,6.66000193824743,6.57173059236011,47.8624912454968,52.1375087545032
"21",1984,1,6.98594113962427,6.44709598192198,47.6410829764219,52.3589170235781
"22",1984,2,5.71268964073082,5.87433166783441,47.5700719224671,52.4299280775329
"23",1984,3,5.28166492442049,6.3850130383923,47.7396684578534,52.2603315421466
"24",1984,4,5.34516178074844,5.93082087589807,47.8279896699928,52.1720103300072
"25",1985,1,6.32530326346051,6.41550490302197,47.5898915663814,52.4101084336186
"26",1985,2,5.44434377534406,5.86753360921676,47.5923752092034,52.4076247907966
"27",1985,3,5.12585881604396,6.51216933703633,47.7792182212172,52.2207817787828
"28",1985,4,4.99296471279279,5.68096911689066,47.8352189026421,52.1647810973579
"29",1986,1,6.22328673164821,5.99748472726221,47.6533328311196,52.3466671688804
"30",1986,2,5.58148705351106,5.57518718909312,47.6480643596285,52.3519356403715
"31",1986,3,5.11413667821518,5.91126445636103,47.6415826926504,52.3584173073496
"32",1986,4,5.34832855988154,5.25937467602159,47.6529153691386,52.3470846308614
"33",1987,1,6.00967726318749,5.08898861903223,47.4837421919855,52.5162578080145
"34",1987,2,4.83223449567521,4.67044735487001,47.7361155192882,52.2638844807118
"35",1987,3,4.36650913242,4.96767364213958,47.7158403062712,52.2841596937288
"36",1987,4,4.34957796630076,4.55430561056847,47.5248747410704,52.4751252589296
"37",1988,1,5.09453184201851,4.61368953311614,47.6563940927965,52.3436059072035
"38",1988,2,4.16612663490055,4.21566411496475,47.8190536416492,52.1809463583508
"39",1988,3,3.93773518532561,4.80471788494334,47.923227046121,52.076772953879
"40",1988,4,4.21368428791833,4.10176230813938,47.7210106464139,52.2789893535861
"41",1989,1,4.89489048910159,4.21323359788965,47.952555976414,52.047444023586
"42",1989,2,3.82339654292498,3.96630103441105,48.2190241605849,51.7809758394151
"43",1989,3,3.43338223741063,4.88508160830052,48.2577843886876,51.7422156113124
"44",1989,4,3.79459518772801,4.11607874591092,47.9995118848707,52.0004881151293
"45",1990,1,5.11630118347274,4.39445575849495,47.799580751899,52.200419248101
"46",1990,2,4.04009968457458,4.15262800771956,48.1302532271466,51.8697467728534
"47",1990,3,4.17533110196757,4.76969120000001,48.2305732516976,51.7694267483024
"48",1990,4,4.74346703541929,4.39453112570103,48.0706165350657,51.9293834649343
"49",1991,1,6.49530921675529,5.33686801606001,47.808911090824,52.191088909176
"50",1991,2,5.66156547294683,4.98498978297889,47.9988649710953,52.0011350289047
