"","year","quarter","qWhite","qBlack","qNative","qAsianPacific","qOther","qpopWhite","qpopBlack","qpopNative","qpopAsianPacific","qpopOther"
"1",1979,1,4.16645570830019,8.68956653921076,NA,NA,5.02004476707996,88.662521270385,8.72167863815677,NA,NA,2.6158000914582
"2",1979,2,3.13570698864318,8.05426580788641,NA,NA,4.61193235467644,88.0922275197305,9.28270278749267,NA,NA,2.62506969277687
"3",1979,3,3.47629011238586,7.82868452930832,NA,NA,4.33732597985434,88.4808833700261,8.86440389066132,NA,NA,2.65471273931256
"4",1979,4,3.47793235383688,6.87649418635545,NA,NA,5.14164694745926,88.0385420299601,8.98655920938359,NA,NA,2.97489876065633
"5",1980,1,4.2920872748392,8.39066477808542,NA,NA,7.35886382404725,88.1706530021989,8.87283752896251,NA,NA,2.95650946883863
"6",1980,2,4.45892602342953,10.4493053768232,NA,NA,6.2266777684227,88.165930014576,8.86015454081399,NA,NA,2.97391544461004
"7",1980,3,5.0755123048993,9.5322482340424,NA,NA,6.07601536392827,88.1779253782112,8.77093925609854,NA,NA,3.05113536569021
"8",1980,4,4.65720622833839,10.1670029496104,NA,NA,6.0750152775607,88.0283213236262,8.76010239690641,NA,NA,3.21157627946739
"9",1981,1,5.3526263881338,11.0797496039196,NA,NA,5.69940046675355,87.7852702812777,8.96027854250211,NA,NA,3.25445117622014
"10",1981,2,4.52328602575778,10.3181027116873,NA,NA,4.95765209657337,87.9596300844352,8.88505306323086,NA,NA,3.15531685233396
"11",1981,3,4.68259024406803,10.5557547702878,NA,NA,7.81478009835475,87.8958202447377,8.89883681254568,NA,NA,3.20534294271658
"12",1981,4,5.28655750574827,11.6383047633201,NA,NA,6.75739337579346,87.80122368861,9.07376753622641,NA,NA,3.12500877516358
"13",1982,1,6.64964817011837,13.0041822943477,NA,NA,6.26263457340646,87.6529368233327,9.18009547375553,NA,NA,3.16696770291176
"14",1982,2,6.35351603267513,13.5936492182973,NA,NA,8.95289933345802,87.6739240913694,9.08510651609412,NA,NA,3.24096939253647
"15",1982,3,6.80772197686291,14.5759144302128,NA,NA,9.52641131948994,87.7592548747787,8.92631828234955,NA,NA,3.31442684287176
"16",1982,4,7.17805773144232,15.4677607810139,NA,NA,9.15302344764398,87.5475743930392,9.05165591690079,NA,NA,3.40076969006006
"17",1983,1,8.15504708590418,15.0408042853207,NA,NA,9.16770850855947,87.3922111959164,9.25280831673623,NA,NA,3.35498048734733
"18",1983,2,7.04432398863164,15.9150624710253,NA,NA,7.35125252221399,87.7001765945884,9.02915420971319,NA,NA,3.27066919569839
"19",1983,3,6.55801601252906,14.1301595811456,NA,NA,9.61914022191134,87.6216188990803,8.97468608968103,NA,NA,3.40369501123868
"20",1983,4,5.85059547984409,12.3897300014539,NA,NA,9.37841444050792,87.3703397241219,9.08120192339434,NA,NA,3.5484583524838
"21",1984,1,6.11582513479749,12.1107394147584,NA,NA,6.73276660582015,87.8143336351481,9.04711810207064,NA,NA,3.13854826278128
"22",1984,2,4.97100025347333,12.6308227082672,NA,NA,5.42524100249592,87.6109042070755,9.04025731588735,NA,NA,3.34883847703716
"23",1984,3,5.10793061890647,10.790833057174,NA,NA,6.81012810191877,87.1264245630222,9.16904978278793,NA,NA,3.7045256541899
"24",1984,4,4.89489663915016,11.2682274604071,NA,NA,6.01653473033122,87.0559505751233,9.25040875308884,NA,NA,3.69364067178785
"25",1985,1,5.71546265544865,11.5987446073394,NA,NA,6.92150954714102,87.4969209677526,9.06899225805883,NA,NA,3.43408677418854
"26",1985,2,4.9388670680889,10.6915995710367,NA,NA,7.73633205688116,87.1158312907857,9.41149189514216,NA,NA,3.47267681407211
"27",1985,3,5.06889889800306,11.3250866699537,NA,NA,4.99462709346823,87.0811039679124,9.66442751071754,NA,NA,3.25446852137008
"28",1985,4,4.50628755564015,11.3258095204316,NA,NA,6.74468343197228,87.1066581471659,9.41145375389549,NA,NA,3.48188809893859
"29",1986,1,5.53882540234229,10.9012389379047,NA,NA,6.39577265963537,86.565880278545,9.83962955948909,NA,NA,3.59449016196592
"30",1986,2,4.87101334175316,10.7873312058958,NA,NA,7.52062218772351,87.1042969957849,9.33809652710472,NA,NA,3.55760647711039
"31",1986,3,4.80203972737095,10.848364173833,NA,NA,5.83536748578891,86.9717015320097,9.54304119342332,NA,NA,3.48525727456698
"32",1986,4,4.71070047820768,10.3481871532249,NA,NA,4.94614572445171,86.792849933439,9.70739690752896,NA,NA,3.49975315903204
"33",1987,1,5.00893901706942,10.2703666238513,NA,NA,6.24734568874397,86.7793054477879,9.66484597927749,NA,NA,3.55584857293463
"34",1987,2,4.08970597407755,9.76983636059584,NA,NA,6.14355516840789,86.7646322895933,9.6226962033963,NA,NA,3.61267150701036
"35",1987,3,3.9095233614536,10.3307379646713,NA,NA,4.85476079951556,86.7233843476213,9.56554163011278,NA,NA,3.7110740222659
"36",1987,4,3.93678255195435,8.4963904558563,NA,NA,4.44092001420259,86.8235539936083,9.73175668366778,NA,NA,3.44468932272388
"37",1988,1,4.29455836606456,9.34564919710228,NA,NA,5.75325148544721,86.8813077654253,9.42081660959629,NA,NA,3.6978756249784
"38",1988,2,3.56669832780522,8.9784623143561,NA,NA,4.99769407531223,87.4050672392314,9.18251505265634,NA,NA,3.41241770811223
"39",1988,3,3.77817094907112,8.63927246524254,NA,NA,4.40639434180228,86.7499868676026,9.61075265005586,NA,NA,3.63926048234152
"40",1988,4,3.68648361688857,7.90857636318314,NA,NA,4.66943214365213,86.8236929419004,9.63011167078723,NA,NA,3.5461953873124
