Series ID,Year,Period,Label,Value
LNS14027662,2011,M09,2011 Sep,4.2
LNS14027662,2011,M10,2011 Oct,4.3
LNS14027662,2011,M11,2011 Nov,4.4
LNS14027662,2011,M12,2011 Dec,4.1
LNS14027662,2012,M01,2012 Jan,4.3
LNS14027662,2012,M02,2012 Feb,4.2
LNS14027662,2012,M03,2012 Mar,4.1
LNS14027662,2012,M04,2012 Apr,4.0
LNS14027662,2012,M05,2012 May,3.9
LNS14027662,2012,M06,2012 Jun,4.0
LNS14027662,2012,M07,2012 Jul,4.1
LNS14027662,2012,M08,2012 Aug,4.1
LNS14027662,2012,M09,2012 Sep,4.0
LNS14027662,2012,M10,2012 Oct,3.7
LNS14027662,2012,M11,2012 Nov,3.9
LNS14027662,2012,M12,2012 Dec,4.0
LNS14027662,2013,M01,2013 Jan,3.8
LNS14027662,2013,M02,2013 Feb,3.9
LNS14027662,2013,M03,2013 Mar,3.8
LNS14027662,2013,M04,2013 Apr,3.9
LNS14027662,2013,M05,2013 May,3.9
LNS14027662,2013,M06,2013 Jun,3.8
LNS14027662,2013,M07,2013 Jul,3.8
LNS14027662,2013,M08,2013 Aug,3.4
LNS14027662,2013,M09,2013 Sep,3.7
LNS14027662,2013,M10,2013 Oct,3.7
LNS14027662,2013,M11,2013 Nov,3.4
LNS14027662,2013,M12,2013 Dec,3.3
LNS14027662,2014,M01,2014 Jan,3.3
LNS14027662,2014,M02,2014 Feb,3.4
LNS14027662,2014,M03,2014 Mar,3.4
LNS14027662,2014,M04,2014 Apr,3.3
LNS14027662,2014,M05,2014 May,3.2
LNS14027662,2014,M06,2014 Jun,3.3
LNS14027662,2014,M07,2014 Jul,3.1
LNS14027662,2014,M08,2014 Aug,3.2
LNS14027662,2014,M09,2014 Sep,2.9
LNS14027662,2014,M10,2014 Oct,3.0
LNS14027662,2014,M11,2014 Nov,3.2
LNS14027662,2014,M12,2014 Dec,2.8
LNS14027662,2015,M01,2015 Jan,2.8
LNS14027662,2015,M02,2015 Feb,2.7
LNS14027662,2015,M03,2015 Mar,2.4
LNS14027662,2015,M04,2015 Apr,2.7
LNS14027662,2015,M05,2015 May,2.8
LNS14027662,2015,M06,2015 Jun,2.5
LNS14027662,2015,M07,2015 Jul,2.5
LNS14027662,2015,M08,2015 Aug,2.4
